27.08200	30.76500	music
57.39000	478.56800	music
507.42600	511.84400	music
543.15400	799.37900	music
841.00000	1153.99800	music
1189.00000	1425.04500	music
1526.30700	1888.30500	music
1978.61700	2189.49300	music
2214.46800	2467.99300	music
2501.42900	2739.69100	music
2770.31400	2796.12000	music
2900.84700	2907.03300	music
2930.17800	2985.99200	music
3002.20500	3472.92500	music
3556.93800	3651.38200	music
3676.95700	3681.36000	music
3697.54200	4299.35500	music
4343.35300	4582.30800	music
4611.69900	4879.99500	music
4914.27900	4924.91800	music
4944.21100	5179.99200	music
